fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_0mean
41800,41800,338443.875535156,6534055.8492533,338473.875535156,6534025.8492533,261,129,1.37844762344074
41801,41801,338443.875535156,6534025.8492533,338473.875535156,6533995.8492533,262,129,2.43606270313648
41802,41802,338443.875535156,6533995.8492533,338473.875535156,6533965.8492533,263,129,1.69524424097112
41803,41803,338443.875535156,6533965.8492533,338473.875535156,6533935.8492533,264,129,1.09852985471849
41804,41804,338443.875535156,6533935.8492533,338473.875535156,6533905.8492533,265,129,0.344436639425396
41805,41805,338443.875535156,6533905.8492533,338473.875535156,6533875.8492533,266,129,0.133394942191083
41806,41806,338443.875535156,6533875.8492533,338473.875535156,6533845.8492533,267,129,0.236422478355473
41807,41807,338443.875535156,6533845.8492533,338473.875535156,6533815.8492533,268,129,1.0919816676033
41808,41808,338443.875535156,6533815.8492533,338473.875535156,6533785.8492533,269,129,1.15469376814609
41809,41809,338443.875535156,6533785.8492533,338473.875535156,6533755.8492533,270,129,3.52287939954474
41810,41810,338443.875535156,6533755.8492533,338473.875535156,6533725.8492533,271,129,3.10214555071556
41811,41811,338443.875535156,6533725.8492533,338473.875535156,6533695.8492533,272,129,3.26959402107517
42116,42116,338473.875535156,6534235.8492533,338503.875535156,6534205.8492533,255,130,3.69525956254445
41794,41794,338443.875535156,6534235.8492533,338473.875535156,6534205.8492533,255,129,3.71623182731489
42134,42134,338473.875535156,6533695.8492533,338503.875535156,6533665.8492533,273,130,2.79500019713492
42135,42135,338473.875535156,6533665.8492533,338503.875535156,6533635.8492533,274,130,3.93228619123842
42136,42136,338473.875535156,6533635.8492533,338503.875535156,6533605.8492533,275,130,2.38252219763881
42137,42137,338473.875535156,6533605.8492533,338503.875535156,6533575.8492533,276,130,1.38113983758182
42138,42138,338473.875535156,6533575.8492533,338503.875535156,6533545.8492533,277,130,1.92082385810152
42139,42139,338473.875535156,6533545.8492533,338503.875535156,6533515.8492533,278,130,1.74189117805053
42140,42140,338473.875535156,6533515.8492533,338503.875535156,6533485.8492533,279,130,1.49939787255125
42141,42141,338473.875535156,6533485.8492533,338503.875535156,6533455.8492533,280,130,3.67021188981477
42142,42142,338473.875535156,6533455.8492533,338503.875535156,6533425.8492533,281,130,4.57420831530927
42143,42143,338473.875535156,6533425.8492533,338503.875535156,6533395.8492533,282,130,4.43068054315995
42144,42144,338473.875535156,6533395.8492533,338503.875535156,6533365.8492533,283,130,3.76657124944573
42145,42145,338473.875535156,6533365.8492533,338503.875535156,6533335.8492533,284,130,3.58609814373191
42146,42146,338473.875535156,6533335.8492533,338503.875535156,6533305.8492533,285,130,3.55467408252415
42147,42147,338473.875535156,6533305.8492533,338503.875535156,6533275.8492533,286,130,4.01564910655119
42148,42148,338473.875535156,6533275.8492533,338503.875535156,6533245.8492533,287,130,2.25007290244102
