id,left,top,right,bottom,CNN_20m_0mean
"122195",16174924.9785,-3673944.1298,16174944.9785,-3673964.1298,0.318531301133335
"122196",16174924.9785,-3673964.1298,16174944.9785,-3673984.1298,0.791472881808877
"122197",16174924.9785,-3673984.1298,16174944.9785,-3674004.1298,1.19275162413716
"122198",16174924.9785,-3674004.1298,16174944.9785,-3674024.1298,1.18035156775266
"122199",16174924.9785,-3674024.1298,16174944.9785,-3674044.1298,0.703294530548155
"122200",16174924.9785,-3674044.1298,16174944.9785,-3674064.1298,0.420535816922784
"122201",16174924.9785,-3674064.1298,16174944.9785,-3674084.1298,0.248351266048849
"122202",16174924.9785,-3674084.1298,16174944.9785,-3674104.1298,0.298924008402973
"122203",16174924.9785,-3674104.1298,16174944.9785,-3674124.1298,0.200088374409825
"122204",16174924.9785,-3674124.1298,16174944.9785,-3674144.1298,0.244486824199557
"122205",16174924.9785,-3674144.1298,16174944.9785,-3674164.1298,0.200799680594355
"122206",16174924.9785,-3674164.1298,16174944.9785,-3674184.1298,0.129419909855351
"122207",16174924.9785,-3674184.1298,16174944.9785,-3674204.1298,0.227610912322998
"122208",16174924.9785,-3674204.1298,16174944.9785,-3674224.1298,0.345433620046824
"122209",16174924.9785,-3674224.1298,16174944.9785,-3674244.1298,0.423260785453022
"122210",16174924.9785,-3674244.1298,16174944.9785,-3674264.1298,0.635581416934729
"122211",16174924.9785,-3674264.1298,16174944.9785,-3674284.1298,0.405807751715183
"122212",16174924.9785,-3674284.1298,16174944.9785,-3674304.1298,1.02650569528341
"122213",16174924.9785,-3674304.1298,16174944.9785,-3674324.1298,3.61725395560265
"122214",16174924.9785,-3674324.1298,16174944.9785,-3674344.1298,1.92930485077202
"122215",16174924.9785,-3674344.1298,16174944.9785,-3674364.1298,0.204594562705606
"122216",16174924.9785,-3674364.1298,16174944.9785,-3674384.1298,0.055207105392692
"122217",16174924.9785,-3674384.1298,16174944.9785,-3674404.1298,0.381033036618028
"122218",16174924.9785,-3674404.1298,16174944.9785,-3674424.1298,1.18959030888975
"122219",16174924.9785,-3674424.1298,16174944.9785,-3674444.1298,1.21859017491341
"122220",16174924.9785,-3674444.1298,16174944.9785,-3674464.1298,1.19145263433456
"122221",16174924.9785,-3674464.1298,16174944.9785,-3674484.1298,2.25450309753418
"122222",16174924.9785,-3674484.1298,16174944.9785,-3674504.1298,3.34626422286034
"122223",16174924.9785,-3674504.1298,16174944.9785,-3674524.1298,2.31538870796561
"122224",16174924.9785,-3674524.1298,16174944.9785,-3674544.1298,2.41130596667528
"122225",16174924.9785,-3674544.1298,16174944.9785,-3674564.1298,4.06434077382088
"122226",16174924.9785,-3674564.1298,16174944.9785,-3674584.1298,2.98248135834932
"122227",16174924.9785,-3674584.1298,16174944.9785,-3674604.1298,2.85404215067625
"122228",16174924.9785,-3674604.1298,16174944.9785,-3674624.1298,3.54445309221745
"122229",16174924.9785,-3674624.1298,16174944.9785,-3674644.1298,4.37940244376659
"122230",16174924.9785,-3674644.1298,16174944.9785,-3674664.1298,3.37125746428967
"122231",16174924.9785,-3674664.1298,16174944.9785,-3674684.1298,2.91409678429365
"122232",16174924.9785,-3674684.1298,16174944.9785,-3674704.1298,4.00060935914516
"122233",16174924.9785,-3674704.1298,16174944.9785,-3674724.1298,5.36279205203056
"122234",16174924.9785,-3674724.1298,16174944.9785,-3674744.1298,3.12655678898096
"122235",16174924.9785,-3674744.1298,16174944.9785,-3674764.1298,2.8807792776823
"122236",16174924.9785,-3674764.1298,16174944.9785,-3674784.1298,3.33113301932812
"122237",16174924.9785,-3674784.1298,16174944.9785,-3674804.1298,4.27688653469086
"122238",16174924.9785,-3674804.1298,16174944.9785,-3674824.1298,3.93648207843304
"122239",16174924.9785,-3674824.1298,16174944.9785,-3674844.1298,4.81707027971744
"122240",16174924.9785,-3674844.1298,16174944.9785,-3674864.1298,3.65298249840736
"122241",16174924.9785,-3674864.1298,16174944.9785,-3674884.1298,4.07985117077827
"122242",16174924.9785,-3674884.1298,16174944.9785,-3674904.1298,3.44783367395401
"122243",16174924.9785,-3674904.1298,16174944.9785,-3674924.1298,2.93036340773106
"122244",16174924.9785,-3674924.1298,16174944.9785,-3674944.1298,4.8539881592989
"122245",16174924.9785,-3674944.1298,16174944.9785,-3674964.1298,5.73487587451935
"122246",16174924.9785,-3674964.1298,16174944.9785,-3674984.1298,4.76772673249245
"122247",16174924.9785,-3674984.1298,16174944.9785,-3675004.1298,4.86060497403145
"122248",16174924.9785,-3675004.1298,16174944.9785,-3675024.1298,4.36350303947926
"122249",16174924.9785,-3675024.1298,16174944.9785,-3675044.1298,3.06652006655931
"122250",16174924.9785,-3675044.1298,16174944.9785,-3675064.1298,3.18443012714386
"122251",16174924.9785,-3675064.1298,16174944.9785,-3675084.1298,2.02536703251302
"122252",16174924.9785,-3675084.1298,16174944.9785,-3675104.1298,1.13630247719586
"122253",16174924.9785,-3675104.1298,16174944.9785,-3675124.1298,1.52064075022936
"122254",16174924.9785,-3675124.1298,16174944.9785,-3675144.1298,1.31629845231771
"122255",16174924.9785,-3675144.1298,16174944.9785,-3675164.1298,1.47265716306865
"122256",16174924.9785,-3675164.1298,16174944.9785,-3675184.1298,2.14854166015983
"122257",16174924.9785,-3675184.1298,16174944.9785,-3675204.1298,1.68456888891757
"122258",16174924.9785,-3675204.1298,16174944.9785,-3675224.1298,1.25085379034281
"122259",16174924.9785,-3675224.1298,16174944.9785,-3675244.1298,2.16216786652803
"122260",16174924.9785,-3675244.1298,16174944.9785,-3675264.1298,2.46265218868852
"122261",16174924.9785,-3675264.1298,16174944.9785,-3675284.1298,2.08985522270203
"122262",16174924.9785,-3675284.1298,16174944.9785,-3675304.1298,2.06422820806503
"122263",16174924.9785,-3675304.1298,16174944.9785,-3675324.1298,3.33922279894352
"122264",16174924.9785,-3675324.1298,16174944.9785,-3675344.1298,2.92476666867733
"122265",16174924.9785,-3675344.1298,16174944.9785,-3675364.1298,2.21626047313213
"122266",16174924.9785,-3675364.1298,16174944.9785,-3675384.1298,2.70429746359587
"122267",16174924.9785,-3675384.1298,16174944.9785,-3675404.1298,1.75820870041847
