fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_51mean
"69511","69511",341023.875535156,6533485.8492533,341053.875535156,6533455.8492533,"280","215",1.06211916757954
"69512","69512",341023.875535156,6533455.8492533,341053.875535156,6533425.8492533,"281","215",1.42023762699631
"69513","69513",341023.875535156,6533425.8492533,341053.875535156,6533395.8492533,"282","215",1.26370935347345
"69514","69514",341023.875535156,6533395.8492533,341053.875535156,6533365.8492533,"283","215",1.67216504789061
"69515","69515",341023.875535156,6533365.8492533,341053.875535156,6533335.8492533,"284","215",0.990509440360798
"69516","69516",341023.875535156,6533335.8492533,341053.875535156,6533305.8492533,"285","215",0.572912860761086
"69517","69517",341023.875535156,6533305.8492533,341053.875535156,6533275.8492533,"286","215",0.543927796292636
"69518","69518",341023.875535156,6533275.8492533,341053.875535156,6533245.8492533,"287","215",1.76325559786624
"69519","69519",341023.875535156,6533245.8492533,341053.875535156,6533215.8492533,"288","215",1.95569961676995
"69520","69520",341023.875535156,6533215.8492533,341053.875535156,6533185.8492533,"289","215",0.68756881003335
"69816","69816",341053.875535156,6533995.8492533,341083.875535156,6533965.8492533,"263","216",1.98123310546121
"69817","69817",341053.875535156,6533965.8492533,341083.875535156,6533935.8492533,"264","216",1.27465228718188
"69818","69818",341053.875535156,6533935.8492533,341083.875535156,6533905.8492533,"265","216",0.914014814843734
"69819","69819",341053.875535156,6533905.8492533,341083.875535156,6533875.8492533,"266","216",0.898533180819617
"69820","69820",341053.875535156,6533875.8492533,341083.875535156,6533845.8492533,"267","216",0.803391750421789
"69821","69821",341053.875535156,6533845.8492533,341083.875535156,6533815.8492533,"268","216",0.861866231395139
"69822","69822",341053.875535156,6533815.8492533,341083.875535156,6533785.8492533,"269","216",1.03070188121663
"69823","69823",341053.875535156,6533785.8492533,341083.875535156,6533755.8492533,"270","216",1.05018135423462
"69824","69824",341053.875535156,6533755.8492533,341083.875535156,6533725.8492533,"271","216",0.695327679531442
