id,left,top,right,bottom,row_index,col_index,CNN_30m_1mean
40496,338323.875535156,6534535.8492533,338353.875535156,6534505.8492533,245,125,3.61010673452136
40497,338323.875535156,6534505.8492533,338353.875535156,6534475.8492533,246,125,3.03118310422313
40498,338323.875535156,6534475.8492533,338353.875535156,6534445.8492533,247,125,4.32661762156924
40499,338323.875535156,6534445.8492533,338353.875535156,6534415.8492533,248,125,2.68086610919228
40500,338323.875535156,6534415.8492533,338353.875535156,6534385.8492533,249,125,2.31309003095249
40501,338323.875535156,6534385.8492533,338353.875535156,6534355.8492533,250,125,1.07513915687191
40502,338323.875535156,6534355.8492533,338353.875535156,6534325.8492533,251,125,1.68304935665929
40503,338323.875535156,6534325.8492533,338353.875535156,6534295.8492533,252,125,1.25522215870747
40504,338323.875535156,6534295.8492533,338353.875535156,6534265.8492533,253,125,0.747577625432826
40767,338353.875535156,6536065.8492533,338383.875535156,6536035.8492533,194,126,2.15287419465872
40768,338353.875535156,6536035.8492533,338383.875535156,6536005.8492533,195,126,2.74776097462566
40769,338353.875535156,6536005.8492533,338383.875535156,6535975.8492533,196,126,1.41750389856052
40770,338353.875535156,6535975.8492533,338383.875535156,6535945.8492533,197,126,1.47270167610564
40771,338353.875535156,6535945.8492533,338383.875535156,6535915.8492533,198,126,1.16642577564659
40772,338353.875535156,6535915.8492533,338383.875535156,6535885.8492533,199,126,0.844303301392209
40773,338353.875535156,6535885.8492533,338383.875535156,6535855.8492533,200,126,1.89793373954539
40774,338353.875535156,6535855.8492533,338383.875535156,6535825.8492533,201,126,1.53653962415875
40775,338353.875535156,6535825.8492533,338383.875535156,6535795.8492533,202,126,1.28421556157766
40776,338353.875535156,6535795.8492533,338383.875535156,6535765.8492533,203,126,2.01395983162426
40777,338353.875535156,6535765.8492533,338383.875535156,6535735.8492533,204,126,4.31443590786992
40778,338353.875535156,6535735.8492533,338383.875535156,6535705.8492533,205,126,4.61994897645202
40779,338353.875535156,6535705.8492533,338383.875535156,6535675.8492533,206,126,2.99826067282958
40780,338353.875535156,6535675.8492533,338383.875535156,6535645.8492533,207,126,2.09997942042293
40781,338353.875535156,6535645.8492533,338383.875535156,6535615.8492533,208,126,3.18548906374522
40782,338353.875535156,6535615.8492533,338383.875535156,6535585.8492533,209,126,4.28122671406725
40783,338353.875535156,6535585.8492533,338383.875535156,6535555.8492533,210,126,3.24342095105644
40784,338353.875535156,6535555.8492533,338383.875535156,6535525.8492533,211,126,2.68493875880457
40785,338353.875535156,6535525.8492533,338383.875535156,6535495.8492533,212,126,2.43298459295335
40786,338353.875535156,6535495.8492533,338383.875535156,6535465.8492533,213,126,3.86393267621484
40787,338353.875535156,6535465.8492533,338383.875535156,6535435.8492533,214,126,3.10526830440726
40788,338353.875535156,6535435.8492533,338383.875535156,6535405.8492533,215,126,2.91736501489091
40789,338353.875535156,6535405.8492533,338383.875535156,6535375.8492533,216,126,2.36615521195069
40790,338353.875535156,6535375.8492533,338383.875535156,6535345.8492533,217,126,3.68739452344672
40791,338353.875535156,6535345.8492533,338383.875535156,6535315.8492533,218,126,3.00758947681788
40792,338353.875535156,6535315.8492533,338383.875535156,6535285.8492533,219,126,3.76420824518088
40793,338353.875535156,6535285.8492533,338383.875535156,6535255.8492533,220,126,2.48212281349229
40794,338353.875535156,6535255.8492533,338383.875535156,6535225.8492533,221,126,2.16201015967174
40795,338353.875535156,6535225.8492533,338383.875535156,6535195.8492533,222,126,1.7829889347515
40796,338353.875535156,6535195.8492533,338383.875535156,6535165.8492533,223,126,1.46599217154566
